surveyid,year,cc,isocc,nc9,nc14,bills,eduage,polr,scc,caper,calfcar,caecar,canocar,caihome,calehome,caleapp,casup,caesequ,casolar,cacfood,cactravel,cared,cadis,caother,canone,pdconv,age
80.2,2013,2,BE,0,0,3,25,,9,1,0,,1,1,0,1,0,,0,1,1,1,1,0,0,,57
80.2,2013,2,BE,0,0,3,21,,6,2,0,,0,0,0,1,0,,0,0,0,1,1,0,0,,34
80.2,2013,2,BE,0,0,3,98,,8,1,0,,1,0,0,0,0,,0,0,0,1,1,0,0,,19
80.2,2013,2,BE,0,0,3,21,,10,1,0,,1,1,0,1,0,,0,1,1,1,1,0,0,,45
80.2,2013,2,BE,0,0,3,18,,7,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,31
80.2,2013,2,BE,0,0,3,98,,7,2,1,,1,0,0,0,1,,0,0,0,0,0,0,0,,26
80.2,2013,2,BE,0,0,3,18,,4,2,0,,0,1,0,0,0,,0,1,0,1,1,0,0,,70
80.2,2013,2,BE,0,0,3,19,,6,1,0,,0,0,1,1,0,,0,0,0,1,1,0,0,,45
80.2,2013,2,BE,0,0,3,98,,8,2,0,,1,0,0,0,0,,0,0,0,1,0,0,0,,23
80.2,2013,2,BE,0,0,3,98,,9,1,0,,1,1,0,0,1,,0,1,0,1,1,0,0,,24
80.2,2013,2,BE,0,0,3,24,,7,1,0,,0,0,0,1,0,,0,0,0,0,0,0,0,,43
80.2,2013,2,BE,0,0,2,19,,10,1,0,,1,1,0,0,0,,0,0,0,0,0,0,0,,33
80.2,2013,2,BE,0,0,1,98,,7,2,0,,1,0,0,0,0,,0,0,0,1,0,0,0,,22
80.2,2013,2,BE,0,0,3,25,,9,2,0,,1,0,0,1,1,,0,1,0,1,1,0,0,,32
80.2,2013,2,BE,0,0,3,23,,8,2,0,,1,0,0,0,0,,0,0,0,1,1,0,0,,56
80.2,2013,2,BE,0,0,3,25,,7,2,1,,1,0,0,1,0,,0,0,0,1,0,0,0,,27
80.2,2013,2,BE,0,0,3,22,,8,1,0,,1,0,0,0,1,,0,0,1,1,1,0,0,,26
