v6,v7,v557,v570,v571,v572,v573,v574,v575,v576,v577,v578,v579,v580,v581,v582,v583,v592,v595,v605,v607,v624
2,BE,8,1,1,0,0,0,1,0,1,1,0,1,1,0,0,19,51,0,0,3
2,BE,6,2,0,1,1,0,1,0,0,1,0,1,1,0,0,15,58,0,0,3
2,BE,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,19,67,0,0,3
2,BE,7,1,0,1,0,0,0,0,0,1,0,1,1,0,0,18,42,2,0,2
2,BE,7,1,1,0,1,0,0,0,0,0,0,1,0,0,0,19,28,0,0,3
2,BE,7,1,0,1,0,0,0,0,0,0,0,1,1,0,0,14,53,0,0,3
2,BE,3,1,0,0,0,0,1,0,0,1,0,1,0,0,0,21,61,0,0,3
2,BE,9,2,1,1,0,0,1,0,0,0,0,1,0,0,0,18,49,0,0,3
2,BE,6,2,0,0,0,0,1,0,0,1,0,1,1,0,0,21,35,1,0,3
2,BE,6,2,0,0,0,0,1,0,0,1,0,1,1,0,0,16,52,0,0,3
2,BE,8,1,0,0,0,0,1,0,0,0,1,1,1,1,0,25,45,2,0,3
2,BE,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,20,38,0,0,1
2,BE,7,1,0,0,0,0,1,0,0,0,0,1,1,0,0,98,16,1,0,3
2,BE,10,1,0,1,0,0,0,0,0,0,0,1,1,0,0,25,42,0,0,3
2,BE,8,1,0,1,1,0,1,0,1,1,0,1,1,0,0,22,36,0,0,3
2,BE,7,2,0,0,0,0,0,0,0,1,0,1,1,0,0,16,77,0,0,3
2,BE,9,1,0,1,0,0,0,1,0,1,0,1,0,0,0,21,24,0,0,3
2,BE,10,1,0,1,0,0,1,0,0,1,0,1,1,0,0,17,51,0,0,1
2,BE,8,1,0,1,0,0,0,0,0,0,0,1,1,0,0,23,40,0,0,1
2,BE,10,2,0,0,0,0,0,0,0,0,0,1,1,0,0,21,47,0,1,1
2,BE,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,18,32,2,0,1
2,BE,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,20,54,0,0,1
2,BE,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,3
2,BE,7,2,0,1,1,0,0,1,0,0,0,1,0,0,0,22,32,2,0,3
2,BE,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,17,49,0,0,2
2,BE,8,1,0,1,0,0,1,0,0,1,1,1,1,0,0,25,25,0,0,3
2,BE,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16,60,0,0,3
2,BE,7,2,0,0,0,0,0,0,0,0,0,1,1,0,0,14,53,0,0,3
2,BE,7,2,0,0,0,0,0,0,0,0,0,1,1,0,0,14,70,0,0,3
2,BE,10,1,0,1,1,0,1,0,0,0,0,1,0,0,0,18,35,0,0,3
2,BE,8,2,0,1,0,0,1,0,1,0,0,0,0,0,0,20,44,0,0,3
2,BE,8,2,0,0,0,0,0,0,0,1,0,1,0,0,0,20,35,1,2,3
2,BE,7,1,0,1,1,0,0,0,0,0,0,1,1,0,0,99,52,0,0,3
2,BE,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,19,47,0,0,3
2,BE,8,2,1,0,0,0,1,1,0,1,0,1,0,0,0,22,49,0,0,3
2,BE,6,1,0,1,0,0,0,0,1,0,0,0,0,0,0,22,68,0,0,3
2,BE,4,2,0,0,1,0,1,0,0,1,0,1,1,0,0,23,45,0,1,3
2,BE,8,2,0,1,0,0,1,0,0,0,0,1,1,0,0,18,49,0,0,3
2,BE,5,2,0,1,0,0,0,0,0,1,0,1,1,0,0,98,19,0,0,3
2,BE,10,1,0,1,1,0,1,0,1,0,0,1,1,0,0,21,61,0,0,3
2,BE,7,1,0,1,0,0,1,0,0,0,0,1,1,0,0,18,76,0,0,3
2,BE,5,2,0,0,0,0,0,0,0,0,0,1,1,0,0,23,61,0,0,3
2,BE,7,2,0,0,1,0,1,0,0,0,1,1,1,0,0,98,16,0,1,3
