country,isocntry,qa2,qa5,qa6_1,qa6_2,qa6_3,qa6_4,qa6_5,qa6_6,qa6_7,qa6_8,qa6_9,qa6_10,qa6_11,qa6_12,qa6_13,d8,d11,d40b,d40c,d60
2,BE,7,2,1,1,0,0,0,1,0,0,0,0,0,0,0,98,26,0,0,3
2,BE,4,2,0,0,1,0,0,0,0,1,0,1,1,0,0,18,70,0,0,3
2,BE,6,1,0,0,0,1,1,0,0,0,0,1,1,0,0,19,45,0,0,3
2,BE,8,2,0,1,0,0,0,0,0,0,0,1,0,0,0,98,23,0,0,3
2,BE,9,1,0,1,1,0,0,1,0,1,0,1,1,0,0,98,24,0,0,3
2,BE,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,24,43,0,0,3
2,BE,10,1,0,1,1,0,0,0,0,0,0,0,0,0,0,19,33,0,0,2
2,BE,7,2,0,1,0,0,0,0,0,0,0,1,0,0,0,98,22,0,0,1
2,BE,9,2,0,1,0,0,1,1,0,1,0,1,1,0,0,25,32,0,0,3
2,BE,8,2,0,1,0,0,0,0,0,0,0,1,1,0,0,23,56,0,0,3
2,BE,7,2,1,1,0,0,1,0,0,0,0,1,0,0,0,25,27,0,0,3
2,BE,8,1,0,1,0,0,0,1,0,0,1,1,1,0,0,22,26,0,0,3
2,BE,3,1,0,1,0,0,1,0,0,1,0,1,1,0,0,23,59,0,0,3
2,BE,5,1,1,0,1,0,1,0,0,1,1,1,1,0,0,21,66,0,0,3
2,BE,8,1,0,1,1,0,1,0,0,0,0,1,1,0,0,18,56,0,0,1
2,BE,7,2,0,0,0,0,1,0,0,0,0,1,0,0,0,23,45,0,0,3
2,BE,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,14,70,0,0,3
2,BE,8,2,0,0,0,0,1,0,0,0,0,1,1,0,0,16,68,0,0,2
2,BE,5,1,0,1,0,0,1,0,0,0,0,1,0,0,0,18,34,1,0,2
2,BE,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,20,31,0,0,2
2,BE,8,1,0,1,0,0,1,0,0,0,0,1,1,0,0,98,24,0,0,1
2,BE,5,2,0,1,0,0,1,0,0,0,0,1,1,0,0,99,78,0,0,3
2,BE,6,1,0,1,1,0,0,0,0,0,0,1,1,0,0,24,47,0,1,3
2,BE,6,1,0,1,1,0,1,0,0,0,0,1,1,0,0,23,53,0,0,2
2,BE,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,18,34,0,0,2
2,BE,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,98,16,0,0,3
2,BE,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,16,84,0,0,3
2,BE,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,18,52,0,0,2
2,BE,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,18,60,0,0,2
2,BE,4,1,0,0,1,0,0,0,0,0,0,1,1,0,0,18,65,0,0,3
2,BE,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,21,60,0,0,3
2,BE,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,98,18,1,0,3
2,BE,6,1,1,0,0,0,0,0,0,0,0,1,1,0,0,20,26,0,0,3
2,BE,4,2,0,0,0,0,0,0,0,0,0,1,1,0,0,18,42,0,0,2
2,BE,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,16,55,0,0,3
2,BE,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,98,15,1,0,7
2,BE,5,2,0,0,0,0,0,0,0,0,0,1,1,0,0,16,70,0,0,3
2,BE,7,1,0,0,1,0,0,1,0,0,0,0,1,0,0,19,44,0,1,3
2,BE,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,21,54,0,0,3
2,BE,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,16,48,0,0,3
2,BE,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,14,84,0,0,3
2,BE,7,1,0,1,0,0,1,0,0,0,0,1,1,0,0,18,45,2,0,3
2,BE,7,1,0,1,0,0,0,0,0,1,0,1,1,0,0,98,18,0,1,3
2,BE,7,1,0,1,0,0,1,1,0,0,0,1,1,0,0,24,25,0,0,3
2,BE,7,1,0,1,0,0,0,0,0,0,0,1,1,0,0,98,22,0,0,3
2,BE,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,18,22,1,0,2
2,BE,10,1,0,1,0,0,1,1,1,0,0,1,1,0,0,20,59,0,0,3
2,BE,8,1,0,1,1,0,1,0,0,1,0,1,0,0,0,31,38,1,0,3
2,BE,8,1,1,1,0,0,0,0,0,1,0,1,1,0,0,18,40,0,0,3
2,BE,8,1,1,1,0,0,0,0,0,1,0,1,1,0,0,19,50,0,0,2
2,BE,8,2,0,1,0,0,1,0,0,0,0,0,1,0,0,20,41,0,0,3
2,BE,8,2,0,0,0,0,1,1,0,1,0,1,1,0,0,21,41,0,0,2
2,BE,9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,19,42,0,0,2
2,BE,6,1,0,0,0,0,0,0,1,1,0,1,1,0,0,20,34,0,0,2
2,BE,10,1,0,1,1,0,1,1,0,1,0,1,1,0,0,22,35,2,0,3
2,BE,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,18,53,0,0,3
2,BE,8,1,0,1,1,0,1,0,0,0,0,1,1,0,0,17,54,0,0,3
2,BE,9,1,0,0,0,0,0,0,0,1,0,1,1,0,0,21,35,2,0,2
2,BE,8,1,0,1,1,0,1,1,1,0,0,1,1,0,0,23,30,0,0,3
2,BE,8,1,1,0,1,0,0,0,0,1,0,1,1,0,0,20,33,0,0,2
2,BE,8,1,0,1,1,0,0,0,0,1,0,1,1,0,0,17,52,0,0,3
2,BE,8,1,0,0,0,0,1,0,0,1,0,1,0,0,0,19,26,1,0,2
2,BE,9,1,0,0,0,0,0,1,0,1,0,1,1,0,0,19,35,2,1,2
2,BE,8,2,0,0,0,0,0,0,0,1,0,1,1,0,0,21,47,0,0,3
2,BE,8,1,0,0,0,0,1,1,0,0,0,1,1,0,0,17,43,0,0,2
2,BE,9,2,0,1,0,0,1,0,0,0,0,1,1,0,0,24,55,0,0,2
2,BE,9,2,0,0,0,0,1,0,0,0,0,1,0,0,0,22,47,0,0,3
2,BE,10,1,0,0,0,0,1,1,1,0,0,1,1,0,0,23,56,0,0,3
