country,isocntry,qa2,qa5,qa6_1,qa6_2,qa6_3,qa6_4,qa6_5,qa6_6,qa6_7,qa6_8,qa6_9,qa6_10,qa6_11,qa6_12,qa6_13,d1,d11,d8,d40b,d40c,d60
2,BE,8,2,0,0,1,1,0,0,0,1,0,1,1,0,0,5,73,15,0,0,3
2,BE,10,1,0,1,0,0,0,0,0,1,0,1,1,0,0,5,66,15,0,0,3
2,BE,8,2,0,0,0,0,1,0,0,1,0,1,0,0,0,3,44,24,0,1,3
2,BE,5,2,0,1,1,0,1,0,0,0,0,1,1,0,0,4,44,20,0,2,3
2,BE,6,2,1,0,1,0,0,0,0,1,0,1,1,0,0,98,45,18,0,0,3
2,BE,4,2,0,1,0,0,1,1,0,1,0,1,0,0,0,7,55,16,0,0,3
2,BE,10,1,1,0,0,0,1,0,0,1,1,1,1,0,0,5,43,24,0,0,3
2,BE,8,1,0,1,0,0,0,0,0,1,0,1,1,0,0,4,37,26,2,0,3
2,BE,8,1,0,1,1,0,1,1,0,1,0,1,1,0,0,5,48,25,0,1,2
2,BE,5,2,0,0,0,0,1,0,0,1,0,1,0,0,0,5,75,18,0,0,3
2,BE,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,5,86,17,0,0,2
2,BE,9,1,1,0,0,0,1,1,0,1,0,1,0,0,0,7,79,18,0,0,3
2,BE,8,2,0,0,0,0,0,0,0,1,0,1,0,0,0,5,49,23,0,1,3
2,BE,9,1,0,1,1,0,0,0,0,0,0,1,1,0,0,5,62,22,0,0,3
2,BE,9,1,0,1,0,0,1,0,0,1,0,1,1,0,0,5,59,19,0,0,3
2,BE,6,1,0,1,0,0,0,0,0,0,0,1,0,0,0,6,36,19,0,2,3
2,BE,10,1,0,1,0,0,1,0,0,0,0,1,0,0,0,5,18,98,0,0,3
2,BE,10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,66,17,0,0,3
2,BE,9,1,0,1,1,0,1,0,0,1,0,1,1,0,0,2,47,26,1,0,2
2,BE,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,2,54,19,0,0,3
2,BE,7,1,0,1,1,0,1,1,0,1,1,1,1,0,0,4,40,24,2,0,3
2,BE,8,1,1,0,1,0,1,0,0,1,0,0,1,0,0,6,46,19,0,0,2
2,BE,10,3,0,1,0,0,1,1,0,1,1,1,0,0,0,1,54,22,0,0,2
2,BE,9,1,0,1,1,0,0,0,0,0,0,1,0,0,0,7,43,23,0,2,3
2,BE,3,1,0,1,1,0,1,0,1,1,0,1,1,0,0,8,57,21,0,0,3
2,BE,10,1,1,0,1,1,1,1,0,0,0,1,1,0,0,8,56,21,0,0,3
2,BE,7,3,0,1,1,0,1,1,0,1,0,1,1,0,0,3,59,17,0,0,3
2,BE,5,2,0,0,0,0,1,1,0,0,0,1,1,0,0,97,57,14,0,0,2
2,BE,9,1,0,1,0,1,1,1,1,0,0,1,1,0,0,7,33,23,0,0,3
2,BE,6,2,0,1,0,0,1,0,0,0,0,0,0,0,0,4,50,18,0,0,2
2,BE,5,1,0,1,0,0,1,0,0,0,1,0,0,0,0,5,83,14,0,0,3
2,BE,6,2,0,1,0,0,1,0,0,0,0,1,0,0,0,8,85,14,0,0,3
