country,isocntry,d11,qc2,qc5,qc6.1,qc6.2,qc6.3,qc6.4,qc6.5,qc6.6,qc6.7,qc6.8,qc6.9,qc6.10,qc6.11,qc6.12,qc6.13,qc6.14,qc6.15,d1,d8,d40b,d40c,d60
2,BE,37,7,2,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,5,20,2,1,3
2,BE,62,9,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,18,0,0,3
2,BE,76,7,2,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,16,0,0,3
2,BE,70,6,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,23,0,0,3
2,BE,63,7,2,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,18,0,0,2
2,BE,45,6,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,12,0,0,1
2,BE,53,6,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,16,0,0,1
2,BE,61,10,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,7,18,0,0,3
2,BE,72,9,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,7,26,0,0,3
2,BE,71,8,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,7,24,0,0,3
2,BE,63,10,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,4,21,0,0,3
2,BE,70,4,2,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,5,22,0,0,3
2,BE,80,10,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,16,0,0,2
2,BE,53,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,19,0,0,3
2,BE,75,10,2,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,6,21,0,0,3
2,BE,68,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,18,0,0,3
2,BE,67,3,2,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,8,23,0,0,3
2,BE,32,8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,29,0,0,2
2,BE,57,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,25,0,0,2
2,BE,55,9,2,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,97,17,0,0,3
2,BE,64,10,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,3,18,0,0,3
